timestamp,https://interconnectproject.eu/example/DEKNres2_GI,https://interconnectproject.eu/example/DEKNres2_WM,https://interconnectproject.eu/example/DEKNres2_CP,https://interconnectproject.eu/example/DEKNres2_FR,https://interconnectproject.eu/example/DEKNres2_DW
2017-05-18T02:00:00+00:00,309.703,1259.566,574.294,1259.566,274.137
2017-05-18T03:00:00+00:00,309.703,1259.598,574.296,1259.598,274.137
2017-05-18T04:00:00+00:00,309.703,1259.661,574.296,1259.661,274.138
2017-05-18T05:00:00+00:00,309.703,1259.722,574.296,1259.722,274.74
2017-05-18T06:00:00+00:00,309.703,1259.791,574.296,1259.791,275.386
2017-05-18T07:00:00+00:00,309.703,1259.831,574.297,1259.831,275.39
2017-05-18T08:00:00+00:00,309.704,1259.871,574.297,1259.871,275.39
2017-05-18T09:00:00+00:00,309.704,1259.913,574.297,1259.913,275.39
2017-05-18T10:00:00+00:00,309.704,1259.958,574.297,1259.958,275.39
2017-05-18T11:00:00+00:00,309.704,1260.006,574.298,1260.006,275.391
2017-05-18T12:00:00+00:00,309.704,1260.051,574.298,1260.051,275.391
