timestamp,https://interconnectproject.eu/example/DEKNres2_GI,https://interconnectproject.eu/example/DEKNres2_WM,https://interconnectproject.eu/example/DEKNres2_CP,https://interconnectproject.eu/example/DEKNres2_FR,https://interconnectproject.eu/example/DEKNres2_DW
b'2017-05-18T03:00:00+00:00',0.000,0.032,0.002,0.032,0.000
b'2017-05-18T08:00:00+00:00',0.001,0.040,0.000,0.040,0.000
b'2017-05-18T06:00:00+00:00',0.000,0.069,0.000,0.069,0.646
b'2017-05-18T12:00:00+00:00',0.000,0.045,0.000,0.045,0.000
b'2017-05-18T07:00:00+00:00',0.000,0.040,0.001,0.040,0.004
b'2017-05-18T05:00:00+00:00',0.000,0.061,0.000,0.061,0.602
b'2017-05-18T04:00:00+00:00',0.000,0.063,0.000,0.063,0.001
b'2017-05-18T10:00:00+00:00',0.000,0.045,0.000,0.045,0.000
b'2017-05-18T09:00:00+00:00',0.000,0.042,0.000,0.042,0.000
b'2017-05-18T11:00:00+00:00',0.000,0.048,0.001,0.048,0.001
